Freq (Hz),Ls,Rs,Status
20.00,3.53343e-07,1.09827e-04,0
32.48,2.29716e-07,-5.64033e-05,0
52.73,2.56533e-07,-1.59220e-04,0
85.63,3.37229e-07,-1.41366e-04,0
139.04,2.65048e-07,-4.58909e-05,0
225.77,2.83441e-07,-2.93762e-05,0
366.60,2.36864e-07,-4.55299e-05,0
595.27,2.60482e-07,-2.46663e-05,0
966.59,2.44974e-07,1.21087e-05,0
1569.52,2.46445e-07,1.09987e-04,0
2548.55,2.38017e-07,9.84760e-05,0
4138.28,2.31027e-07,1.57476e-04,0
6719.64,2.32223e-07,2.71692e-04,0
10911.19,2.27842e-07,4.12280e-04,0
17717.34,2.26983e-07,4.56562e-04,0
28769.00,2.25522e-07,6.06803e-04,0
46714.43,2.24718e-07,8.38903e-04,0
75853.80,2.23731e-07,1.15660e-03,0
123169.64,2.22899e-07,1.51999e-03,0
200000.00,4.01461e-07,-2.91967e-03,0
