Freq (Hz),Ls,Rs,Status
20.00,3.31891e-08,6.29605e-04,0
32.48,9.77838e-07,5.88260e-04,0
52.73,1.01494e-06,5.42616e-04,0
85.63,1.07166e-06,6.13549e-04,0
139.04,1.02616e-06,7.27076e-04,0
225.77,8.31337e-07,7.40772e-04,0
366.60,7.28488e-07,9.02259e-04,0
595.27,7.36134e-07,1.05897e-03,0
966.59,6.83228e-07,1.34298e-03,0
1569.52,6.44539e-07,1.61981e-03,0
2548.55,6.13339e-07,2.00254e-03,0
4138.28,5.88532e-07,2.60359e-03,0
6719.64,5.65214e-07,3.25594e-03,0
10911.19,5.48878e-07,4.13868e-03,0
17717.34,5.36767e-07,5.31258e-03,0
28769.00,5.26437e-07,6.76158e-03,0
46714.43,5.18234e-07,8.72848e-03,0
75853.80,5.10894e-07,1.13889e-02,0
123169.64,5.05756e-07,1.46726e-02,0
200000.00,6.80606e-07,1.38554e-02,0
