Freq (Hz),Ls,Rs,Status
20.00,-1.99922e-07,5.39218e-04,0
32.48,2.67211e-07,3.31205e-04,0
52.73,9.67025e-07,4.07176e-04,0
85.63,7.68123e-07,3.50857e-04,0
139.04,7.26445e-07,4.93813e-04,0
225.77,5.78359e-07,4.50641e-04,0
366.60,5.71792e-07,6.22411e-04,0
595.27,5.61787e-07,6.87155e-04,0
966.59,5.20720e-07,8.96368e-04,0
1569.52,5.01317e-07,1.08784e-03,0
2548.55,4.81107e-07,1.38014e-03,0
4138.28,4.58110e-07,1.87210e-03,0
6719.64,4.45988e-07,2.37221e-03,0
10911.19,4.33233e-07,3.02444e-03,0
17717.34,4.23099e-07,3.80163e-03,0
28769.00,4.15749e-07,4.92897e-03,0
46714.43,4.09781e-07,6.41780e-03,0
75853.80,4.04294e-07,8.37841e-03,0
123169.64,4.00355e-07,1.06844e-02,0
200000.00,5.76300e-07,8.77145e-03,0
